All Industries_Other_All ages,last_val,diff
92.4,0.0,inf
95.6,92.4,3.4632034632034507
97.1,95.6,1.5690376569037656
97.8,97.1,0.7209062821833191
98.1,97.8,0.30674846625766583
98.6,98.1,0.509683995922528
99.1,98.6,0.5070993914807302
99.3,99.1,0.20181634712411992
99.1,99.3,-0.20140986908358796
99.8,99.1,0.7063572149344126
100.0,99.8,0.20040080160320925
99.6,100.0,-0.40000000000000563
96.3,99.6,-3.3132530120481904
93.9,96.3,-2.492211838006222
91.7,93.9,-2.3429179978700776
91.4,91.7,-0.327153762268263
92.0,91.4,0.6564551422319412
92.5,92.0,0.5434782608695652
93.2,92.5,0.7567567567567599
93.7,93.2,0.5364806866952789
93.9,93.7,0.21344717182497633
94.2,93.9,0.31948881789137074
94.9,94.2,0.7430997876857779
95.5,94.9,0.6322444678609003
95.7,95.5,0.20942408376963648
95.8,95.7,0.10449320794147784
96.4,95.8,0.6263048016701551
96.9,96.4,0.5186721991701244
97.1,96.9,0.20639834881319777
97.5,97.1,0.41194644696190086
97.4,97.5,-0.10256410256409673
97.1,97.4,-0.308008213552373
96.9,97.1,-0.20597322348093577
97.2,96.9,0.3095975232198113
96.5,97.2,-0.7201646090535008
96.9,96.5,0.41450777202073125
