Accommodation & food services_Other_All ages,last_val,diff
100.0,100.6,-0.5964214711729565
96.5,100.0,-3.5000000000000004
80.5,96.5,-16.580310880829018
69.7,80.5,-13.416149068322976
65.1,69.7,-6.599713055954101
65.1,65.1,0.0
67.4,65.1,3.533026113671293
69.1,67.4,2.5222551928783212
70.3,69.1,1.7366136034732316
70.5,70.3,0.28449502133713067
71.8,70.5,1.8439716312056698
73.4,71.8,2.228412256267421
76.5,73.4,4.223433242506804
78.6,76.5,2.7450980392156787
80.1,78.6,1.9083969465648856
81.6,80.1,1.8726591760299627
84.2,81.6,3.1862745098039325
83.9,84.2,-0.3562945368170988
83.8,83.9,-0.11918951132301374
83.2,83.8,-0.7159904534606137
83.2,83.2,0.0
80.3,83.2,-3.48557692307693
79.5,80.3,-0.9962640099626366
78.6,79.5,-1.1320754716981205
78.2,78.6,-0.508905852417292
78.2,78.2,0.0
